Nachname;Vorname;Geburtsdatum;Geburtsort;Sterbedatum;Geschlecht;Partei;Familienstand;Religion;Beruf;md_start;md_end
Feiler;Uwe;02.11.1965;Luhdorf;None;männlich;CDU;verheiratet, 3 Kinder;evangelisch;Diplom-Finanzwirt  (FH), Parl. Staatssekretär;24.10.2017;None
Felgentreu;Fritz;01.09.1968;Kiel;None;männlich;SPD;verheiratet, 3 Kinder;ohne Angaben;Klassischer Philologe;24.10.2017;None
Freese;Ulrich;12.04.1951;Drevenack;None;männlich;SPD;verheiratet, 3 Kinder;evangelisch;Gewerkschaftssekretär;24.10.2017;None
Frei;Thorsten;08.08.1973;Säckingen;None;männlich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Oberbürgermeister a.D., Jurist;24.10.2017;None
Freudenstein;Astrid;09.10.1973;Bad Griesbach i. Rottal;None;weiblich;CSU;verheiratet, 1 Kind;römisch-katholisch;Ministerialdirektorin;02.07.2019;None
Gastel;Matthias;26.12.1970;Stuttgart;None;männlich;BÜNDNIS 90/DIE GRÜNEN;ohne Angaben;evangelisch;Sozialpädagoge, Betriebswirt;24.10.2017;None
Groden-Kranich;Ursula;24.05.1965;Mainz;None;weiblich;CDU;verheiratet, 1 Kind;römisch-katholisch;Bankkauffrau;24.10.2017;None
Gröhler;Klaus-Dieter;17.04.1966;Berlin;None;männlich;CDU;{'-self-closing': 'true'};{'-self-closing': 'true'};Volljurist, Bezirksstadtrat a. D.;24.10.2017;None
Grötsch;Uli;14.07.1975;Weiden;None;männlich;SPD;verheiratet, 2 Kinder;katholisch;Polizeibeamter;24.10.2017;None
Grundmann;Oliver;21.08.1971;Stade;None;männlich;CDU;verheiratet, 3 Kinder;evangelisch;Geschäftsführer, Rechtsanwalt;24.10.2017;None
Güntzler;Fritz;06.05.1966;Cuxhaven;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;Wirtschaftsprüfer, Steuerberater;24.10.2017;None
Haase;Christian;06.05.1966;Höxter;None;männlich;CDU;verheiratet, 1 Kind;römisch-katholisch;Bürgermeister a. D.;24.10.2017;None
Hagl-Kehl;Rita;11.11.1970;Porz am Rhein;None;weiblich;SPD;verheiratet, 2 Kinder;römisch-katholisch;Studienrätin, Parl. Staatssekretärin;24.10.2017;None
Hahn;André;20.04.1963;Berlin;None;männlich;DIE LINKE.;verheiratet, 1 Kind;konfessionslos;Dipl.-Lehrer;24.10.2017;None
Hakverdi;Metin;25.06.1969;Hamburg;None;männlich;SPD;ledig;ohne Angaben;Jurist;24.10.2017;None
Hartmann;Sebastian;07.07.1977;Oberhausen;None;männlich;SPD;verheiratet;römisch-katholisch;Organisationsberater;24.10.2017;None
Hauer;Matthias;18.12.1977;Hattingen;None;männlich;CDU;ledig;römisch-katholisch;Rechtsanwalt;24.10.2017;None
Hauptmann;Mark;29.04.1984;Weimar;None;männlich;CDU;ledig;evangelisch;Politikwissenschaftler, Angestellter Thüringer Landesverwaltung;24.10.2017;None
Heidenblut;Dirk;21.04.1961;Essen;None;männlich;SPD;verheiratet;ohne Angaben;Geschäftsführer;24.10.2017;None
Heinrich;Gabriela;18.04.1963;Berlin;None;weiblich;SPD;verheiratet, 1 Kind;ohne Angaben;Redakteurin;24.10.2017;None
Held;Marcus;15.10.1977;Ludwigshafen am Rhein;None;männlich;SPD;verheiratet, 2 Kinder;evangelisch;Jurist, Bürgermeister;24.10.2017;None
Helfrich;Mark;08.09.1978;Itzehoe;None;männlich;CDU;verheiratet, 2 Kinder;ohne Angaben;Betriebswirt;24.10.2017;None
Hirte;Heribert;31.03.1958;Köln;None;männlich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Universitätsprofessor;24.10.2017;None
Hitschler;Thomas;22.06.1982;Landau in der Pfalz;None;männlich;SPD;verheiratet;katholisch;Politikwissenschaftler;24.10.2017;None
Hoffmann;Alexander;06.03.1975;Würzburg;None;männlich;CSU;verheiratet, 1 Kind;römisch-katholisch;Jurist;24.10.2017;None
Hoppenstedt;Hendrik;14.06.1972;Großburgwedel;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;Bürgermeister a. D., Rechtsanwalt, Staatsminister;24.10.2017;None
Irlstorfer;Erich;27.05.1970;Freising;None;männlich;CSU;verheiratet, 2 Kinder;katholisch;Außendienstmitarbeiter;24.10.2017;None
Janecek;Dieter;25.05.1976;Pirmasens;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 3 Kinder;römisch-katholisch;Diplom-Politologe;24.10.2017;None
Junge;Frank;05.05.1967;Halle (Saale);None;männlich;SPD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Diplom-Sportlehrer;24.10.2017;None
Jurk;Thomas;19.06.1962;Görlitz;None;männlich;SPD;verheiratet, 2 Kinder;ohne Angaben;Funkmechaniker, Staatsminister a. D.;24.10.2017;None
Kapschack;Ralf;24.12.1954;Witten;None;männlich;SPD;verheiratet, 2 Kinder;ohne Angaben;Journalist;24.10.2017;None
Karliczek;Anja;29.04.1971;Ibbenbüren;None;weiblich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Leitende Angestellte im Familienbetrieb, Bundesministerin;24.10.2017;None
Kassner;Kerstin;07.01.1958;Radebeul;None;weiblich;DIE LINKE.;verheiratet, 2 Kinder;konfessionslos;Diplom-Ökonomin;24.10.2017;None
Katzmarek;Gabriele;08.07.1960;Marl;None;weiblich;SPD;verheiratet, 2 Kinder;ohne Angaben;Gewerkschaftssekretärin;24.10.2017;None
Kippels;Georg;21.09.1959;Bedburg;None;männlich;CDU;verheiratet;römisch-katholisch;Rechtsanwalt;24.10.2017;None
Kiziltepe;Cansel;08.10.1975;Berlin;None;weiblich;SPD;2 Kinder;ohne Angaben;Diplom-Volkswirtin;24.10.2017;None
Klare;Arno;01.02.1952;Oberhausen;None;männlich;SPD;{'-self-closing': 'true'};evangelisch-lutherisch;Lehrer;24.10.2017;None
Koob;Markus;05.12.1977;Kronberg im Taunus;None;männlich;CDU;ledig;römisch-katholisch;Angestellter im öffentlichen Dienst;24.10.2017;None
Körber;Carsten;11.06.1979;Zwickau;None;männlich;CDU;verheiratet;evangelisch-lutherisch;Betriebswirt;24.10.2017;None
Kühn;Christian;09.04.1979;Tübingen;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;evangelisch-lutherisch;Politologe, Landesvorsitzender;24.10.2017;None
Kühne;Roy;27.09.1967;Magdeburg;None;männlich;CDU;verheiratet, 2 Kinder;{'-self-closing': 'true'};Diplom-Sporttherapeut, Physiotherapeut;24.10.2017;None
Launert;Silke;27.12.1976;Stadtsteinach;None;weiblich;CSU;verheiratet, 2 Kinder;evangelisch;Richterin am Landgericht a.D.;24.10.2017;None
Leikert;Katja;03.03.1975;Neustadt an der Weinstraße;None;weiblich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Dipl.-Politologin;24.10.2017;None
Lenz;Andreas;23.04.1981;Ebersberg;None;männlich;CSU;ledig;römisch-katholisch;Kreisrat, Diplom-Betriebswirt (FH);24.10.2017;None
Lezius;Antje;30.06.1960;Kusel;None;weiblich;CDU;geschieden, 2 Kinder;evangelisch;Unternehmensberaterin, Betriebswirtin IHK, Wirtschafts-Mediatorin;24.10.2017;None
