Nachname;Vorname;Geburtsdatum;Geburtsort;Sterbedatum;Geschlecht;Partei;Familienstand;Religion;Beruf;md_start;md_end
Bleser;Peter;23.07.1952;Brachtendorf;None;männlich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Landwirtschaftsmeister;24.10.2017;None
Brecht;Eberhard;20.02.1950;Quedlinburg / Bezirk Halle;None;männlich;SPD;verheiratet, 2 Kinder;evangelisch;Dipl.-Physiker;25.10.2019;None
Dehm;Diether;03.04.1950;Frankfurt/Main;None;männlich;DIE LINKE.;verheiratet;{'-self-closing': 'true'};Autor, Geschäftsführer;24.10.2017;None
Fuchtel;Hans-Joachim;13.02.1952;Sulz am Neckar;None;männlich;CDU;verheiratet, 4 Kinder;evangelisch;Parl. Staatssekretär;24.10.2017;None
Gysi;Gregor;16.01.1948;Berlin;None;männlich;DIE LINKE.;geschieden, 3 Kinder;konfessionslos;Rechtsanwalt;24.10.2017;None
Jelpke;Ulla;09.06.1951;Hamburg;None;weiblich;DIE LINKE.;keine Angaben;ohne Angaben;Dipl.-Sozialökonomin;24.10.2017;None
Kauder;Volker;03.09.1949;Hoffenheim;None;männlich;CDU;verheiratet;evangelisch;Jurist, Vors. der CDU/CSU-Fraktion;24.10.2017;None
Kubicki;Wolfgang;03.03.1952;Braunschweig;None;männlich;FDP;verheiratet, 2 Kinder;evangelisch;Rechtsanwalt, Diplom-Volkswirt, Vizepräsident DBT;24.10.2017;None
Landgraf;Katharina;24.02.1954;Kirchengel / Krs Sondershausen, Bezirk Erfurt;None;weiblich;CDU;verheiratet, 4 Kinder;evangelisch-lutherisch;Dipl.-Meliorationsingenieurin;24.10.2017;None
Matschie;Christoph;15.07.1961;Mühlhausen / Thüringen;None;männlich;SPD;geschieden, 3 Kinder;evangelisch-lutherisch;Mechaniker, Theologe, Landesminister a. D.;24.10.2017;None
Merkel;Angela;17.07.1954;Hamburg;None;weiblich;CDU;verheiratet;evangelisch;Bundeskanzlerin, Dipl.-Physikerin;24.10.2017;None
Ramsauer;Peter;10.02.1954;München;None;männlich;CSU;verheiratet, 4 Kinder;katholisch;Bundesminister a. D., Dipl.-Kaufmann, Müllermeister;24.10.2017;None
Schäuble;Wolfgang;18.09.1942;Freiburg;None;männlich;CDU;verheiratet, 4 Kinder;evangelisch;Bundestagspräsident, Bundesminister a. D., Jurist;24.10.2017;None
Schmidt;Christian;26.08.1957;Obernzenn, Landkrs. Neustadt/Aisch-Bad Windsheim;None;männlich;CSU;verheiratet, 2 Kinder;evangelisch-lutherisch;Bundesminister a. D., Rechtsanwalt;24.10.2017;None
Schmidt;Ulla;13.06.1949;Aachen;None;weiblich;SPD;1 Kind;ohne Angaben;Vizepräsidentin DBT a. D., Lehrerin, Bundesministerin a. D.;24.10.2017;None
Solms;Hermann Otto;24.11.1940;Lich / Krs. Gießen;None;männlich;FDP;verheiratet, 3 Kinder;evangelisch;Vizepräsident DBT a. D., Bankkaufmann, Dipl.-Agraringenieur;24.10.2017;None
Stübgen;Michael;17.10.1959;Lauchhammer / Kreis Senftenberg;None;männlich;CDU;verheiratet, 3 Kinder;evangelisch;Pfarrer, Baufacharbeiter, Parl. Staatssekretär;24.10.2017;None
Altmaier;Peter;18.06.1958;Ensdorf;None;männlich;CDU;{'-self-closing': 'true'};katholisch;Bundesminister, Jurist;24.10.2017;None
Barnett;Doris;22.05.1953;Ludwigshafen;None;weiblich;SPD;verheiratet, 1 Kind;ohne Angaben;Juristin;24.10.2017;None
Freitag;Dagmar;03.03.1953;Letmathe;None;weiblich;SPD;keine Angaben;ohne Angaben;Lehrerin;24.10.2017;None
Gröhe;Hermann;25.02.1961;Uedem / Kreis Kleve;None;männlich;CDU;verheiratet, 4 Kinder;evangelisch;Bundesminister a. D., Rechtsanwalt;24.10.2017;None
Grund;Manfred;03.07.1955;Zeitz / Sachsen-Anhalt;None;männlich;CDU;verheiratet, 4 Kinder;römisch-katholisch;Dipl.-Elektroingenieur;24.10.2017;None
Hendricks;Barbara;29.04.1952;Kleve;None;weiblich;SPD;keine Angaben;katholisch;Bundesministerin a. D., Historikerin;24.10.2017;None
Lamers;Karl A.;12.02.1951;Duisburg-Hamborn;None;männlich;CDU;keine Angaben;katholisch;Rechtsanwalt;24.10.2017;None
Lemke;Steffi;19.01.1968;Dessau;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 1 Kind;ohne Angaben;Dipl.-Agraringenieurin;24.10.2017;None
Meister;Michael;09.06.1961;Lorsch / Krs. Bergstraße;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;Diplom Mathematiker, Parl. Staatssekretär;24.10.2017;None
Michelbach;Hans;03.05.1949;Gemünden am Main;None;männlich;CSU;verheiratet, 3 Kinder;römisch-katholisch;Selbständiger Unternehmer, Bürgermeister a. D.;24.10.2017;None
Müller;Gerd;25.08.1955;Krumbach / Schwaben;None;männlich;CSU;verheiratet, 2 Kinder;römisch-katholisch;Bundesminister, Dipl.-Wirtschaftspädagoge;24.10.2017;None
Özdemir;Cem;21.12.1965;Bad Urach / Baden-Württemberg;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;ohne Angaben;Dipl.-Sozialpädagoge (FH);24.10.2017;None
Rachel;Thomas;17.05.1962;Düren;None;männlich;CDU;verheiratet, 1 Kind;evangelisch;Politikwissenschaftler, Parl. Staatssekretär;24.10.2017;None
Röttgen;Norbert;02.07.1965;Meckenheim;None;männlich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Rechtsanwalt, Bundesminister a. D.;24.10.2017;None
Selle;Johannes;13.01.1956;Lobenstein / Bez. Gera;None;männlich;CDU;verheiratet, 3 Kinder;evangelisch;Diplom Mathematiker;24.10.2017;None
Siebert;Bernd;17.10.1949;Gudensberg;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;selbstständiger Kaufmann;02.03.2020;None
Straubinger;Max;12.08.1954;Oberlucken;None;männlich;CSU;verheiratet, 3 Kinder;katholisch;Versicherungsfachmann, Selbständiger Generalvertreter, Landwirtschaftsmeister;24.10.2017;None
Vogt;Ute;03.10.1964;Heidelberg;None;weiblich;SPD;{'-self-closing': 'true'};katholisch;Rechtsanwältin;24.10.2017;None
Barthle;Norbert;01.02.1952;Schwäbisch Gmünd;None;männlich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Parl. Staatssekretär, Ministerialrat a. D.;24.10.2017;None
Bartsch;Dietmar;31.03.1958;Stralsund;None;männlich;DIE LINKE.;verheiratet, 2 Kinder;konfessionslos;Wirtschaftswissenschaftler;24.10.2017;None
Binding;Lothar;01.04.1950;Sandershausen;None;männlich;SPD;verheiratet, 2 Kinder;ohne Angaben;Starkstromelektriker, Mathematiker;24.10.2017;None
Brauksiepe;Ralf;14.03.1967;Hattingen / Ennepe-Ruhr-Kreis;None;männlich;CDU;verheiratet, 4 Kinder;römisch-katholisch;Wissenschaftlicher Assistent;24.10.2017;None
Deligöz;Ekin;21.04.1971;Tokat;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;Islam;Dipl.-Verwaltungswissenschaftlerin;24.10.2017;None
Dött;Marie-Luise;20.04.1953;Nordhorn / Krs. Grafschaft Bentheim, NDS;None;weiblich;CDU;verheiratet, 1 Kind;römisch-katholisch;Einzelhandelskauffrau;24.10.2017;None
Fischer;Axel E.;05.05.1966;Karlsruhe;None;männlich;CDU;verheiratet, 6 Kinder;evangelisch;Dipl.-Ingenieur, Elektroinstallateur;24.10.2017;None
Friedrich;Hans-Peter;10.03.1957;Naila / Landkreis Hof, Oberfranken;None;männlich;CSU;verheiratet, 3 Kinder;evangelisch-lutherisch;Bundesminister a. D., Jurist, Vizepräsident DBT;24.10.2017;None
Göring-Eckardt;Katrin;03.05.1966;Friedrichroda / Thüringen;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;patchwork, 2 Kinder;evangelisch;Vizepräsidentin DBT a. D.;24.10.2017;None
Heil;Hubertus;03.11.1972;Hildesheim;None;männlich;SPD;verheiratet, 2 Kinder;evangelisch;Politikwissenschaftler, Bundesminister;24.10.2017;None
Herzog;Gustav;11.10.1958;Harxheim / Pfalz;None;männlich;SPD;verheiratet, 2 Kinder;evangelisch;Chemielaborant;24.10.2017;None
Hohmann;Martin;04.02.1948;Fulda;None;männlich;AfD;verheiratet, 3 Kinder;römisch-katholisch;Bürgermeister a. D., Volljurist;24.10.2017;None
Kahrs;Johannes;15.09.1963;Bremen;None;männlich;SPD;verheiratet;evangelisch;Jurist;24.10.2017;None
Kramme;Anette;10.10.1967;Essen;None;weiblich;SPD;ledig;ohne Angaben;Rechtsanwältin und Fachanwältin für Arbeitsrecht, Parl. Staatssekretärin;24.10.2017;None
Lambrecht;Christine;19.06.1965;Mannheim;None;weiblich;SPD;ledig, 1 Kind;evangelisch;Rechtsanwältin, Bundesministerin;24.10.2017;None
Lange;Christian;27.02.1964;Saarlouis;None;männlich;SPD;keine Angaben;evangelisch;Oberregierungsrat a. D., Parl. Staatssekretär;24.10.2017;None
Nahles;Andrea;20.06.1970;Mendig;None;weiblich;SPD;1 Kind;katholisch;Bundesministerin a. D., Literaturwissenschaftlerin M. A.;24.10.2017;None
Steinke;Kersten;07.12.1958;Bad Frankenhausen / Kyffheuserkreis, Thüringen;None;weiblich;DIE LINKE.;verheiratet, 2 Kinder;ohne Angaben;Agraringenieurin;24.10.2017;None
Nietan;Dietmar;25.05.1964;Düren;None;männlich;SPD;verheiratet, 2 Kinder;evangelisch;Angestellter;24.10.2017;None
Pau;Petra;09.08.1963;Berlin;None;weiblich;DIE LINKE.;verheiratet;ohne Angaben;Vizepräsidentin DBT, Lehrerin;24.10.2017;None
Röspel;René;09.07.1964;Hagen / Westfalen;None;männlich;SPD;verheiratet, 4 Kinder;ohne Angaben;Dipl.-Biologe;24.10.2017;None
Rossmann;Ernst Dieter;04.02.1951;Elmshorn;None;männlich;SPD;verheiratet, 1 Kind;evangelisch;Dipl.-Psychologe;24.10.2017;None
Roth;Claudia;15.05.1955;Ulm;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;ledig;ohne Angaben;Vizepräsidentin DBT, Dramaturgin;24.10.2017;None
Roth;Michael;24.08.1970;Heringen;None;männlich;SPD;keine Angaben;evangelisch;Dipl.-Politologe, Staatsminister;24.10.2017;None
Schäfer;Anita;09.07.1951;Saalstadt;None;weiblich;CDU;ledig;katholisch;Angestellte;24.10.2017;None
Schneider;Carsten;23.01.1976;Erfurt;None;männlich;SPD;verheiratet, 1 Kind;konfessionslos;Bankkaufmann;24.10.2017;None
Schurer;Ewald;15.04.1954;Ebersberg;03.12.2017;männlich;SPD;verheiratet, 4 Kinder;katholisch;Dipl.-Betriebswirt  (FH), Marketing- und Kommunikationsberater;24.10.2017;None
Trittin;Jürgen;25.07.1954;Bremen;None;männlich;BÜNDNIS 90/DIE GRÜNEN;ledig, 1 Kind;ohne Angaben;Dipl.-Sozialwirt, Journalist, Bundesminister a. D.;24.10.2017;None
Vaatz;Arnold;09.08.1955;Weida;None;männlich;CDU;verheiratet, 4 Kinder;ohne Angaben;Diplom-Mathematiker, Staatsminister a. D.;24.10.2017;None
Weiß;Peter;12.03.1956;Feiburg / Breisgau;None;männlich;CDU;3 Kinder;römisch-katholisch;Referatsleiter, Geschäftsführer;24.10.2017;None
Widmann-Mauz;Annette;13.06.1966;Tübingen;None;weiblich;CDU;verheiratet;römisch-katholisch;Staatsministerin;24.10.2017;None
Willsch;Klaus-Peter;28.02.1961;Bad Schwalbach;None;männlich;CDU;verheiratet, 5 Kinder;evangelisch;Dipl.-Volkswirt, Bürgermeister a. D.;24.10.2017;None
Arndt-Brauer;Ingrid;20.03.1961;Marburg;None;weiblich;SPD;verheiratet, 4 Kinder;{'-self-closing': 'true'};Dipl.-Kauffrau, Dipl.-Soziologin;24.10.2017;None
Reimann;Carola;25.08.1967;Goch / Kreis Kleve;None;weiblich;SPD;ledig;ohne Angaben;Biotechnologin;24.10.2017;None
Griese;Kerstin;06.12.1966;Münster / Westfalen;None;weiblich;SPD;keine Angaben;evangelisch;Historikerin, Parl. Staatssekretärin;24.10.2017;None
Kelber;Ulrich;29.03.1968;Bamberg;None;männlich;SPD;verheiratet, 5 Kinder;ohne Angaben;Dipl.-Informatiker;24.10.2017;None
Andreae;Kerstin;21.10.1968;Schramberg;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 3 Kinder;evangelisch;Dipl.-Volkswirtin;24.10.2017;None
Bartol;Sören;04.09.1974;Hamburg;None;männlich;SPD;ledig;evangelisch;Diplom-Politologe;24.10.2017;None
Bellmann;Veronika;20.11.1960;Karl-Marx-Stadt / Chemnitz;None;weiblich;CDU;verheiratet, 1 Kind;katholisch;Verwaltungs-Betriebswirtin (VWA), Fachkauffrau für Marketing /Vertrieb (VWA);24.10.2017;None
Braun;Helge;18.10.1972;Gießen;None;männlich;CDU;verheiratet;römisch-katholisch;Professor, Arzt, Bundesminister;24.10.2017;None
Bülow;Marco;14.06.1971;Dortmund;None;männlich;Plos;geschieden, 1 Kind;ohne Angaben;Freier Journalist;24.10.2017;None
Connemann;Gitta;10.05.1964;Leer;None;weiblich;CDU;verheiratet;evangelisch-lutherisch;Volljuristin;24.10.2017;None
Dobrindt;Alexander;07.06.1970;Peißenberg;None;männlich;CSU;verheiratet, 1 Kind;römisch-katholisch;Bundesminister a. D., Diplom-Soziologe;24.10.2017;None
Ferlemann;Enak;12.07.1963;Bad Rothenfelde;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;Geschäftsführer, Parl. Staatssekretär;24.10.2017;None
Flachsbarth;Maria;02.06.1963;Lünen / Westfalen;None;weiblich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Tierärztin, Parl. Staatssekretärin;24.10.2017;None
Fricke;Otto;21.11.1965;Krefeld;None;männlich;FDP;verheiratet, 3 Kinder;evangelisch;Rechtsanwalt;24.10.2017;None
Gienger;Eberhard;21.07.1951;Künzelsau;None;männlich;CDU;verheiratet, 3 Kinder;evangelisch;Kaufmann;24.10.2017;None
Grosse-Brömer;Michael;12.10.1960;Oberhausen;None;männlich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Rechtsanwalt und Notar a. D.;24.10.2017;None
Grübel;Markus;15.10.1959;Esslingen am Neckar;None;männlich;CDU;verheiratet;römisch-katholisch;Notar a. D., Parl. Staatssekretär;24.10.2017;None
Gutting;Olav;14.10.1970;Karlsruhe;None;männlich;CDU;verheiratet, 1 Kind;römisch-katholisch;Rechtsanwalt;24.10.2017;None
Hagedorn;Bettina;26.12.1955;Kiel;None;weiblich;SPD;geschieden, 3 Kinder;konfessionslos;Goldschmiedin, Parl. Staatssekretärin;24.10.2017;None
Hajduk;Anja;08.06.1963;Duisburg;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;ohne Angaben;ohne Angaben;Dipl.-Psychologin, Senatorin a. D.;24.10.2017;None
Hennrich;Michael;14.01.1965;Balingen;None;männlich;CDU;verheiratet, 2 Kinder;katholisch;Rechtsanwalt;24.10.2017;None
Hiller-Ohm;Gabriele;28.02.1953;Lübeck;None;weiblich;SPD;geschieden, 2 Kinder;ohne Angaben;Redakteurin;24.10.2017;None
Krichbaum;Gunther;04.05.1964;Korntal;None;männlich;CDU;verheiratet, 3 Kinder;evangelisch;Wirtschaftsjurist;24.10.2017;None
Krings;Günter;07.08.1969;Rheydt;None;männlich;CDU;{'-self-closing': 'true'};evangelisch-reformiert;Volljurist, Parl. Staatssekretär;24.10.2017;None
Künast;Renate;15.12.1955;Recklinghausen;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet;ohne Angaben;Rechtsanwältin, Sozialarbeiterin, Bundesministerin a. D., Fraktionsvorsitzende a. D.;24.10.2017;None
Kurth;Markus;14.04.1966;Bonn / Beuel;None;männlich;BÜNDNIS 90/DIE GRÜNEN;ledig, 1 Kind;römisch-katholisch;Politologe;24.10.2017;None
Lips;Patricia;21.12.1963;Mailand;None;weiblich;CDU;{'-self-closing': 'true'};römisch-katholisch;Handelsfachwirtin;24.10.2017;None
Lötzsch;Gesine;07.08.1961;Berlin;None;weiblich;DIE LINKE.;verwitwet, 2 Kinder;ohne Angaben;Philologin;24.10.2017;None
Bär;Dorothee;19.04.1978;Bamberg;None;weiblich;CSU;verheiratet, 3 Kinder;römisch-katholisch;Diplom-Politologin, Staatsministerin;24.10.2017;None
Marks;Caren;25.09.1963;Bad Pyrmont;None;weiblich;SPD;2 Kinder;evangelisch-lutherisch;Dipl.-Geographin, Parl. Staatssekretärin;24.10.2017;None
Mattheis;Hilde;06.10.1954;Finnentrop;None;weiblich;SPD;verheiratet, 2 Kinder;römisch-katholisch;Hauptschullehrerin;24.10.2017;None
Mayer;Stephan;15.12.1973;Burghausen;None;männlich;CSU;ledig;katholisch;Rechtsanwalt, Parl. Staatssekretär;24.10.2017;None
Mortler;Marlene;16.10.1955;Lauf a. d. Pegnitz;None;weiblich;CSU;verwitwet, 3 Kinder;evangelisch;Meisterin der ländlichen Hauswirtschaft, MdEP;24.10.2017;None
Müller;Stefan;03.09.1975;Neustadt a. d. Aisch;None;männlich;CSU;verheiratet, 1 Kind;römisch-katholisch;Bankfachwirt;24.10.2017;None
Mützenich;Rolf;25.06.1959;Köln;None;männlich;SPD;verheiratet, 2 Kinder;ohne Angaben;Politikwissenschaftler;24.10.2017;None
Nüßlein;Georg;10.04.1969;Krumbach;None;männlich;Plos;{'-self-closing': 'true'};römisch-katholisch;Diplom Kaufmann;24.10.2017;None
Ostendorff;Friedrich;12.01.1953;Dortmund;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 1 Kind;evangelisch-lutherisch;Landwirt;24.10.2017;None
Pfeiffer;Joachim;25.04.1967;Mutlangen;None;männlich;CDU;verheiratet, 3 Kinder;evangelisch;Diplom Kaufmann;24.10.2017;None
Pronold;Florian;28.12.1972;Passau;None;männlich;SPD;verheiratet;konfessionslos;Rechtsanwalt, Parl. Staatssekretär;24.10.2017;None
Ludwig;Daniela;07.07.1975;München;None;weiblich;CSU;verheiratet, 2 Kinder;römisch-katholisch;Juristin;24.10.2017;None
Raabe;Sascha;10.06.1968;Frankfurt/Main;None;männlich;SPD;verheiratet, 4 Kinder;katholisch;Bürgermeister a. D.;24.10.2017;None
Rupprecht;Albert;10.06.1968;Waldthurn;None;männlich;CSU;verheiratet, 2 Kinder;römisch-katholisch;Diplom-Volkswirt;24.10.2017;None
Schäfer;Axel;03.08.1952;Frankfurt/Main;None;männlich;SPD;verheiratet, 1 Kind;ohne Angaben;{'-self-closing': 'true'};24.10.2017;None
Scheuer;Andreas;26.09.1974;Passau;None;männlich;CSU;verheiratet, 1 Kind;römisch-katholisch;Bundesminister, Magister in Politologie, Wirtschaftswissenschaften und Soziologie;24.10.2017;None
Schulz;Swen;01.03.1968;Hamburg;None;männlich;SPD;3 Kinder;ohne Angaben;Redaktionsdirektor, Diplom-Politologe;24.10.2017;None
Schummer;Uwe;14.11.1957;Adelaide;None;männlich;CDU;ledig;katholisch;Groß- und Außenhandelskaufmann;24.10.2017;None
Silberhorn;Thomas;12.11.1968;Kemmern / Lkr. Bamberg;None;männlich;CSU;verheiratet, 2 Kinder;katholisch;Rechtsanwalt (Tätigkeit ruhend), Parl. Staatssekretär;24.10.2017;None
Spahn;Jens;16.05.1980;Ahaus;None;männlich;CDU;ledig;römisch-katholisch;Bundesminister, Bankkaufmann, Politologe;24.10.2017;None
Stetten;Christian;24.07.1970;Stuttgart;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;Dipl.-Betriebswirt (FH);24.10.2017;None
Storjohann;Gero;12.02.1958;Bad Segeberg;None;männlich;CDU;verheiratet, 3 Kinder;ohne Angaben;Dipl.-Betriebswirt (FH);24.10.2017;None
Noll;Michaela;24.12.1959;Düsseldorf;None;weiblich;CDU;verheiratet, 4 Kinder;römisch-katholisch;Vizepräsidentin DBT a. D., Rechtsanwältin, Parl. Geschäftsführerin;24.10.2017;None
Tillmann;Antje;28.08.1964;Düsseldorf;None;weiblich;CDU;geschieden, 1 Kind;katholisch;Steuerberaterin, Diplomfinanzwirtin;24.10.2017;None
Vogel;Volkmar;18.01.1959;Gera;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;Zerspaner, Dipl.-Ingenieur (FH), Parl. Staatssekretär;24.10.2017;None
Wanderwitz;Marco;10.10.1975;Chemnitz;None;männlich;CDU;verheiratet, 4 Kinder;evangelisch-lutherisch;Rechtsanwalt, Volljurist, Parl. Staatssekretär;24.10.2017;None
Wellenreuther;Ingo;16.12.1959;Karlsruhe;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;Vorsitzender Richter am Landgericht a. D.;24.10.2017;None
Auernhammer;Artur;09.03.1963;Oberhochstatt;None;männlich;CSU;ledig;evangelisch;Landwirtschaftsmeister;24.10.2017;None
Kofler;Bärbel;24.05.1967;Freilassing;None;weiblich;SPD;keine Angaben;ohne Angaben;Sprachwissenschaftlerin, Bankkauffrau, Dipl.-Informatikerin (FH);24.10.2017;None
Lazar;Monika;13.09.1967;Leipzig;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;keine Angaben;konfessionslos;Bäckerin und Betriebswirtin;24.10.2017;None
Klingbeil;Lars;23.02.1978;Soltau;None;männlich;SPD;ledig;ohne Angaben;Wissenschaftler Mitarbeiter;24.10.2017;None
Annen;Niels;06.04.1973;Hamburg;None;männlich;SPD;verheiratet;evangelisch;Historiker, Parl. Staatssekretär;24.10.2017;None
Bareiß;Thomas;15.02.1975;Albstadt-Ebingen;None;männlich;CDU;verheiratet;evangelisch;Dipl.-Betriebswirt (BA), Parl. Staatssekretär;24.10.2017;None
Bluhm-Förster;Heidrun;18.01.1958;Schwerin;None;weiblich;DIE LINKE.;geschieden, 2 Kinder;konfessionslos;Bauzeichnerin, Gesellschaftswissenschaftlerin;24.10.2017;None
Brand;Michael;19.11.1973;Fulda;None;männlich;CDU;verheiratet, 3 Kinder;evangelisch;Angestellter, Pressesprecher;24.10.2017;None
Burkert;Martin;14.10.1964;Würzburg;None;männlich;SPD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Gewerkschaftssekretär;24.10.2017;None
Dağdelen;Sevim;04.09.1975;Duisburg;None;weiblich;DIE LINKE.;ledig;{'-self-closing': 'true'};Journalistin;24.10.2017;None
Ernst;Klaus;01.11.1954;München;None;männlich;DIE LINKE.;ledig;konfessionslos;Gewerkschaftssekretär;24.10.2017;None
Gabriel;Sigmar;12.09.1959;Goslar;None;männlich;SPD;verheiratet, 3 Kinder;{'-self-closing': 'true'};Bundesminister des Auswärtigen a. D., Gymnasiallehrer;24.10.2017;None
Gehring;Kai;26.12.1977;Mülheim / Ruhr;None;männlich;BÜNDNIS 90/DIE GRÜNEN;gleichgeschlechtliche Partnerschaft;{'-self-closing': 'true'};Dipl.-Sozialwissenschaftler;24.10.2017;None
Gerster;Martin;30.08.1971;Biberach an der Riß;None;männlich;SPD;verheiratet, 1 Kind;römisch-katholisch;Parlamentarischer Berater im Landtag;24.10.2017;None
Grütters;Monika;09.01.1962;Münster / Westfalen;None;weiblich;CDU;ledig;römisch-katholisch;Professorin, Stiftungsvorstand, Staatsministerin;24.10.2017;None
Hänsel;Heike;01.01.1966;Stuttgart;None;weiblich;DIE LINKE.;ledig;katholisch;Ernährungswissenschaftlerin;24.10.2017;None
Haßelmann;Britta;10.12.1961;Straelen / Niederrhein;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 1 Kind;ohne Angaben;Dipl.-Sozialarbeiterin;24.10.2017;None
Hofreiter;Anton;02.02.1970;München;None;männlich;BÜNDNIS 90/DIE GRÜNEN;ledig;{'-self-closing': 'true'};Dipl.-Biologe;24.10.2017;None
Jung;Andreas;13.05.1975;Freiburg / Breisgau;None;männlich;CDU;verheiratet, 2 Kinder;katholisch;Rechtsanwalt;24.10.2017;None
Juratovic;Josip;15.01.1959;Koprvnica;None;männlich;SPD;verheiratet, 3 Kinder;römisch-katholisch;Kfz.-Mechaniker;24.10.2017;None
Karl;Alois;22.11.1950;Neumarkt;None;männlich;CSU;verheiratet, 2 Kinder;römisch-katholisch;Oberbürgermeister a. D., Rechtsanwalt;24.10.2017;None
Kipping;Katja;18.01.1978;Dresden;None;weiblich;DIE LINKE.;verheiratet, 1 Kind;ohne Angaben;Slawistin,  Literaturwissenschaftlerin;24.10.2017;None
Koeppen;Jens;27.09.1962;Zeitz;None;männlich;CDU;verheiratet, 1 Kind;evangelisch;Elektro-Techniker, Unternehmer;24.10.2017;None
Korte;Jan;05.04.1977;Osnabrück;None;männlich;DIE LINKE.;verheiratet, 2 Kinder;ohne Angaben;Politikwissenschaftler M. A.;24.10.2017;None
Kotting-Uhl;Sylvia;29.12.1952;Karlsruhe;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;2 Kinder;ohne Angaben;Dozentin;24.10.2017;None
Lämmel;Andreas G.;19.04.1959;Falkenstein / Vogtland;None;männlich;CDU;verheiratet, 2 Kinder;ohne Angaben;Konditor, Diplom-Ingenieur (FH);24.10.2017;None
Lauterbach;Karl;21.02.1963;Düren;None;männlich;SPD;geschieden, 4 Kinder;ohne Angaben;Universitätsprofessor;24.10.2017;None
Lehrieder;Paul;20.11.1959;Ochsenfurt;None;männlich;CSU;verheiratet, 2 Kinder;römisch-katholisch;Rechtsanwalt, Altbürgermeister;24.10.2017;None
Leutert;Michael;08.08.1974;Schlema;None;männlich;DIE LINKE.;verheiratet, 4 Kinder;konfessionslos;Diplom-Soziologe;24.10.2017;None
Link;Michael Georg;06.02.1963;Heilbronn / Neckar;None;männlich;FDP;ledig;evangelisch-lutherisch;Übersetzer, Staatsminister a. D.;24.10.2017;None
Mast;Katja;04.02.1971;Offenburg;None;weiblich;SPD;verheiratet;ohne Angaben;Referentin für Personalstrategie, Bankkauffrau;24.10.2017;None
Miersch;Matthias;19.12.1968;Hannover;None;männlich;SPD;verpartnert;evangelisch-lutherisch;Rechtsanwalt;24.10.2017;None
Müller;Carsten;08.05.1970;Braunschweig;None;männlich;CDU;ledig;evangelisch;Bankkaufmann, Rechtsanwalt;24.10.2017;None
Müller;Detlef;20.08.1964;Karl-Marx-Stadt;None;männlich;SPD;verheiratet, 4 Kinder;ohne Angaben;Lokomotivführer;24.10.2017;None
Oppermann;Thomas;27.04.1954;Freekenhorst;25.10.2020;männlich;SPD;4 Kinder;evangelisch-lutherisch;Vizepräsident DBT, Jurist, Landesminister a. D.;24.10.2017;None
Otte;Henning;27.10.1968;Celle;None;männlich;CDU;verheiratet, 4 Kinder;evangelisch-lutherisch;Prokurist, Jurist;24.10.2017;None
Rawert;Mechthild;03.11.1957;Coesfeld;None;weiblich;SPD;ledig;katholisch;Dipl.-Pädagogin;26.05.2020;None
Rehberg;Eckhardt;03.04.1954;Ribnitz- Damgarten;None;männlich;CDU;verheiratet, 2 Kinder;katholisch;Dipl.-Ingenieur für Informationsverarbeitung;24.10.2017;None
Rix;Sönke;03.12.1975;Eckernförde;None;männlich;SPD;verheiratet, 2 Kinder;evangelisch;Erzieher;24.10.2017;None
Röring;Johannes;16.05.1959;Vreden;None;männlich;CDU;verheiratet, 4 Kinder;römisch-katholisch;selbstständiger Landwirt;24.10.2017;None
Schäffler;Frank;22.12.1968;Schwäbisch Gmünd;None;männlich;FDP;verheiratet, 2 Kinder;römisch-katholisch;Dipl.-Betriebswirt;24.10.2017;None
Schick;Gerhard;18.04.1972;Hechingen;None;männlich;BÜNDNIS 90/DIE GRÜNEN;{'-self-closing': 'true'};{'-self-closing': 'true'};Volkswirt;24.10.2017;None
Schieder;Marianne;23.05.1962;Schwarzberg;None;weiblich;SPD;keine Angaben;römisch-katholisch;Juristin;24.10.2017;None
