partei_id;Name;Vorname;vote
SPD;Hendricks;Barbara;4
SPD;Herzog;Gustav;1
SPD;Hiller-Ohm;Gabriele;1
SPD;Hitschler;Thomas;4
SPD;Högl;Eva;4
SPD;Junge;Frank;1
SPD;Juratovic;Josip;4
SPD;Jurk;Thomas;1
SPD;Kaczmarek;Oliver;1
SPD;Kahrs;Johannes;4
SPD;Kaiser;Elisabeth;1
SPD;Kapschack;Ralf;1
SPD;Katzmarek;Gabriele;1
SPD;Kiziltepe;Cansel;1
SPD;Klare;Arno;1
SPD;Klingbeil;Lars;1
SPD;Kofler;Bärbel;4
SPD;Kolbe;Daniela;4
SPD;Korkmaz-Emre;Elvan;4
SPD;Kramme;Anette;1
SPD;Lambrecht;Christine;1
SPD;Lange;Christian;1
SPD;Lauterbach;Karl;1
SPD;Lehmann;Sylvia;1
SPD;Lindh;Helge;1
SPD;Lühmann;Kirsten;1
SPD;Maas;Heiko;4
SPD;Mackensen;Isabel;1
SPD;Marks;Caren;1
SPD;Mast;Katja;4
SPD;Matschie;Christoph;1
SPD;Mattheis;Hilde;4
SPD;Miersch;Matthias;1
SPD;Mindrup;Klaus;1
SPD;Mittag;Susanne;1
SPD;Mohrs;Falko;1
SPD;Moll;Claudia;1
SPD;Möller;Siemtje;1
SPD;Müller;Bettina;4
SPD;Müller;Detlef;1
SPD;Müntefering;Michelle;1
SPD;Mützenich;Rolf;1
SPD;Nietan;Dietmar;1
SPD;Nissen;Ulli;1
SPD;Oppermann;Thomas;4
SPD;Ortleb;Josephine;1
SPD;Özdemir;Mahmut;1
SPD;Özoğuz;Aydan;1
SPD;Paschke;Markus;1
SPD;Petry;Christian;1
SPD;Pilger;Detlev;4
SPD;Poschmann;Sabine;4
SPD;Post;Florian;1
SPD;Post;Achim;1
SPD;Pronold;Florian;1
SPD;Raabe;Sascha;1
SPD;Rabanus;Martin;1
SPD;Rimkus;Andreas;1
SPD;Rix;Sönke;4
SPD;Rohde;Dennis;1
SPD;Rosemann;Martin;1
SPD;Röspel;René;1
SPD;Rossmann;Ernst Dieter;4
SPD;Roth;Michael;1
SPD;Rüthrich;Susann;4
SPD;Rützel;Bernd;1
SPD;Ryglewski;Sarah;4
SPD;Saathoff;Johann;1
SPD;Schäfer;Axel;1
SPD;Scheer;Nina;1
SPD;Schieder;Marianne;1
SPD;Schiefner;Udo;4
SPD;Schmid;Nils;4
SPD;Schmidt;Uwe;1
SPD;Schmidt;Ulla;4
SPD;Schmidt;Dagmar;1
SPD;Schneider;Carsten;1
SPD;Schraps;Johannes;1
SPD;Schrodi;Michael;1
SPD;Schulte;Ursula;1
SPD;Schulz;Martin;1
SPD;Schulz;Swen;1
SPD;Schwabe;Frank;1
SPD;Schwartze;Stefan;1
SPD;Schwarz;Andreas;4
SPD;Schwarzelühr-Sutter;Rita;1
SPD;Spiering;Rainer;1
SPD;Stadler;Svenja;1
SPD;Stamm-Fibich;Martina;1
SPD;Steffen;Sonja Amalie;1
SPD;Stein;Mathias;4
SPD;Tack;Kerstin;1
SPD;Tausend;Claudia;4
SPD;Thews;Michael;1
SPD;Töns;Markus;1
SPD;Träger;Carsten;1
SPD;Vogt;Ute;1
SPD;Völlers;Marja-Liisa;1
SPD;Vöpel;Dirk;1
SPD;Weber;Gabi;4
SPD;Weingarten;Joe;1
SPD;Westphal;Bernd;1
SPD;Wiese;Dirk;1
SPD;Yüksel;Gülistan;1
SPD;Ziegler;Dagmar;1
SPD;Zierke;Stefan;4
SPD;Zimmermann;Jens;1
AfD;Baumann;Bernd;1
AfD;Bernhard;Marc;1
AfD;Bleck;Andreas;1
AfD;Boehringer;Peter;1
AfD;Brandner;Stephan;1
AfD;Braun;Jürgen;1
AfD;Bühl;Marcus;1
AfD;Büttner;Matthias;1
AfD;Bystron;Petr;1
AfD;Chrupalla;Tino;1
AfD;Cotar;Joana;1
AfD;Curio;Gottfried;1
AfD;Droese;Siegbert;1
AfD;Ehrhorn;Thomas;1
AfD;Elsner von Gronow;Berengar;1
AfD;Espendiller;Michael;1
AfD;Felser;Peter;1
AfD;Friedhoff;Dietmar;4
AfD;Friesen;Anton;1
AfD;Frohnmaier;Markus;1
AfD;Frömming;Götz;4
AfD;Gauland;Alexander;1
AfD;Gehrke;Axel;4
AfD;Glaser;Albrecht;1
AfD;Gminder;Franziska;1
AfD;Gottberg;Wilhelm;1
AfD;Gottschalk;Kay;4
AfD;Hampel;Armin-Paulus;1
AfD;Harder-Kühnel;Mariana Iris;1
AfD;Hartmann;Verena;4
AfD;Hartwig;Roland;1
AfD;Haug;Jochen;1
AfD;Hebner;Martin;1
AfD;Hemmelgarn;Udo Theodor;1
AfD;Herdt;Waldemar;1
AfD;Hess;Martin;1
AfD;Heßenkemper;Heiko;0
AfD;Hilse;Karsten;1
AfD;Höchst;Nicole;4
AfD;Hohmann;Martin;1
AfD;Hollnagel;Bruno;1
AfD;Holm;Leif-Erik;1
AfD;Huber;Johannes;1
AfD;Jacobi;Fabian;1
AfD;Jongen;Marc;1
AfD;Kestner;Jens;1
AfD;Keuter;Stefan;1
AfD;Kleinwächter;Norbert;1
AfD;Komning;Enrico;1
AfD;König;Jörn;1
AfD;Kotré;Steffen;1
AfD;Kraft;Rainer;1
AfD;Lucassen;Rüdiger;1
AfD;Magnitz;Frank;4
AfD;Maier;Jens;1
AfD;Maier;Lothar;1
